a	2877316
à	173061
aba	65
abacate	64
abacateiro	3
abacates	25
abacaxi	91
abacaxis	10
ábaco	11
ábacos	1
abada	34
abadas	2
abade	227
abadejo	2
abades	10
abadessa	30
abadessas	1
abadia	169
abadias	13
abafa	30
abafada	24
abafadas	5
abafado	130
abafador	10
abafadores	4
abafados	22
abafam	10
abafamento	1
abafámos	1
abafando	7
abafar	134
abafara	2
abafaram	6
abafarem	6
abafaria	1
abafas	4
abafaste	2
abafavam	1
abafe	3
abafei	1
abafem	6
abafemos	1
abafes	1
abafo	3
abafos	1
abafou	14
abaixa	463
abaixada	88
abaixadas	25
abaixado	135
abaixador	2
abaixadores	1
abaixados	89
abaixai	2
abaixam	17
abaixamentos	1
abaixamos	5
abaixando	33
abaixar	223
abaixara	1
abaixará	4
abaixaram	4
abaixarão	1
abaixarei	5
abaixarem	13
abaixares	4
abaixaria	5
abaixarmos	3
abaixas	6
abaixasse	2
abaixava	6
abaixavam	2
abaixe	1205
abaixei	28
abaixem	622
abaixemos	4
abaixes	1
abaixo	6349
abaixo-assinado	21
abaixo-assinados	3
abaixou	45
abajur	122
abajures	10
abala	37
abalada	195
abaladas	10
abalado	185
abalados	31
abalai	2
abalam	8
abalamos	4
abalámos	2
abalançam	1
abalançou	1
abalando	2
abalar	115
abalará	5
abalaram	26
abalarão	2
abalarem	3
abalares	2
abalaria	6
abalariam	1
abalaríamos	1
abalarmos	2
abalas	3
abalasse	3
abalassem	1
abalastes	1
abalava	4
abalável	1
abale	12
abalei	9
abalem	2
abales	2
abalizada	4
abalo	33
abalos	13
abalou	97
abalroa	7
abalroada	2
abalroado	9
abalroados	3
abalroamento	1
abalroar	20
abalroaram	6
abalroarmos	1
abalroei	4
abalroou	10
abana	208
abanada	4
abanadas	2
abanadela	2
abanadelas	1
abanado	11
abanador	2
abanados	2
abanam	20
abanamos	14
abanámos	2
abananado	6
abanando	39
abanão	35
abanar	532
abanara	2
abanará	4
abanaram	3
abanarás	2
abanarem	9
abanaremos	3
abanares	13
abanaria	2
abanas	19
abanasse	6
abanaste	8
abanava	12
abanavam	2
abanca	1
abancar	9
abancou	1
abandalhada	2
abandalhado	3
abandalhar	4
abandalharmos	1
abandalhou	1
abandona	385
abandonada	606
abandonadas	130
abandonado	1247
abandonados	240
abandonai	9
abandonam	102
abandonamos	88
abandonámos	33
abandonando	134
abandonar	2483
abandonara	19
abandonará	73
abandonaram	266
abandonarão	12
abandonaras	6
abandonarás	16
abandonardes	1
abandonarei	60
abandonareis	3
abandonarem	42
abandonaremos	28
abandonares	35
abandonaria	84
abandonariam	14
abandonaríamos	4
abandonarias	8
abandonarmos	15
abandonas	65
abandonasse	38
abandonassem	11
abandonássemos	3
abandonasses	3
abandonaste	282
abandonastes	2
abandonava	27
abandonavam	9
abandonavas	3
abandonável	1
abandone	245
abandonei	290
abandoneis	8
abandonem	145
abandonemos	25
abandones	185
abandono	333
abandonos	3
abandonou	1102
abane	30
abanei	13
abanem	43
abanes	27
abanicar	2
abanico	16
abanicos	5
abano	24
abanões	11
abanos	1
abanou	51
abarca	12
abarcado	1
abarcadores	1
abarcam	4
abarcamos	1
abarcando	7
abarcar	18
abarcaremos	1
abarcas	1
abarcaste	1
abarque	1
abarrota	2
abarrotada	8
abarrotadas	3
abarrotado	20
abarrotados	7
abarrotam	1
abarrotando	5
