a	9220
à	7020
aba	43
abacate	45
abacateiro	2
abacates	14
abacaxi	49
abacaxis	6
ábaco	9
ábacos	1
abada	26
abadas	2
abade	33
abadejo	1
abades	7
abadessa	8
abadessas	1
abadia	36
abadias	3
abafa	27
abafada	21
abafadas	5
abafado	115
abafador	4
abafadores	3
abafados	21
abafam	9
abafamento	1
abafámos	1
abafando	7
abafar	98
abafara	2
abafaram	6
abafarem	6
abafaria	1
abafas	3
abafaste	2
abafavam	1
abafe	3
abafei	1
abafem	5
abafemos	1
abafes	1
abafo	3
abafos	1
abafou	11
abaixa	311
abaixada	69
abaixadas	22
abaixado	91
abaixador	2
abaixadores	1
abaixados	70
abaixai	2
abaixam	16
abaixamentos	1
abaixamos	4
abaixando	26
abaixar	189
abaixara	1
abaixará	4
abaixaram	4
abaixarão	1
abaixarei	5
abaixarem	10
abaixares	3
abaixaria	5
abaixarmos	3
abaixas	6
abaixasse	2
abaixava	6
abaixavam	2
abaixe	597
abaixei	27
abaixem	331
abaixemos	4
abaixes	1
abaixo	2574
abaixo-assinado	13
abaixo-assinados	3
abaixou	42
abajur	63
abajures	9
abala	32
abalada	144
abaladas	10
abalado	144
abalados	28
abalai	2
abalam	8
abalamos	4
abalámos	1
abalançam	1
abalançou	1
abalando	2
abalar	100
abalará	5
abalaram	21
abalarão	2
abalarem	3
abalares	2
abalaria	6
abalariam	1
abalaríamos	1
abalarmos	2
abalas	3
abalasse	3
abalassem	1
abalastes	1
abalava	4
abalável	1
abale	12
abalei	8
abalem	2
abales	2
abalizada	2
abalo	28
abalos	10
abalou	86
abalroa	6
abalroada	2
abalroado	8
abalroados	3
abalroamento	1
abalroar	18
abalroaram	5
abalroarmos	1
abalroei	1
abalroou	10
abana	135
abanada	4
abanadas	2
abanadela	2
abanadelas	1
abanado	8
abanador	2
abanados	2
abanam	19
abanamos	13
abanámos	2
abananado	6
abanando	38
abanão	27
abanar	341
abanara	2
abanará	4
abanaram	3
abanarás	2
abanarem	9
abanaremos	1
abanares	13
abanaria	2
abanas	17
abanasse	6
abanaste	7
abanava	10
abanavam	2
abanca	1
abancar	7
abancou	1
abandalhada	2
abandalhado	3
abandalhar	3
abandalharmos	1
abandalhou	1
abandona	318
abandonada	408
abandonadas	104
abandonado	808
abandonados	186
abandonai	8
abandonam	94
abandonamos	82
abandonámos	24
abandonando	115
abandonar	1349
abandonara	19
abandonará	65
abandonaram	207
abandonarão	12
abandonaras	6
abandonarás	14
abandonardes	1
abandonarei	52
abandonareis	2
abandonarem	39
abandonaremos	25
abandonares	30
abandonaria	76
abandonariam	14
abandonaríamos	3
abandonarias	8
abandonarmos	14
abandonas	61
abandonasse	36
abandonassem	10
abandonássemos	3
abandonasses	3
abandonaste	216
abandonastes	2
abandonava	23
abandonavam	9
abandonavas	3
abandonável	1
abandone	198
abandonei	216
abandoneis	7
abandonem	123
abandonemos	21
abandones	139
abandono	259
abandonos	3
abandonou	681
abane	22
abanei	10
abanem	27
abanes	21
abanicar	1
abanico	9
abanicos	5
abano	20
abanões	11
abanos	1
abanou	40
abarca	10
abarcado	1
abarcadores	1
abarcam	3
abarcamos	1
abarcando	7
abarcar	17
abarcaremos	1
abarcas	1
abarcaste	1
abarque	1
abarrota	2
abarrotada	8
abarrotadas	3
abarrotado	20
abarrotados	7
abarrotam	1
abarrotando	5
abarrotar	63
abarrotarem	1
abarrotaremos	1
abarrotava	1
abarrotes	3
abas	28
abastada	24
abastadas	5
abastado	39
abastados	22
abastança	1
abastardada	3
abastardo	1
abasteça	4
abasteçam	5
abasteçamos	2
abastece	36
abastecedor	4
abastecedora	1
abastecedores	3
abastecem	14
abastecemos	9
abastecendo	15
abastecer	164
abastecerá	1
abasteceram	2
abastecerem	5
abasteceremos	3
abasteceria	1
abastecermos	4
abastecesse	1
abasteceu	7
abasteci	6
abastecia	6
abasteciam	2
abastecida	13
abastecidas	3
abastecido	47
abastecidos	24
abastecimento	148
abastecimentos	44
abasteço	8
abasto	6
abata	37
abatais	1
abatam	46
abatamos	2
abatas	2
abatatei	1
abate	120
abatedor	2
abatedores	1
abatei	2
abatem	28
abatemos	35
abatendo	13
abater	347
abaterá	7
abateram	51
abaterão	3
abaterei	1
abaterem	13
abateremos	2
abateres	8
abateria	4
abatermos	6
abates	10
abatesse	5
abatessem	2
abateste	13
abateu	106
abati	22
abatia	7
abatiam	5
abatida	101
abatidas	19
abatido	383
abatidos	145
abatimento	15
abat-jour	4
abat-jours	2
abato	22
abauladas	1
abaular	1
abcesso	11
abcessos	3
abdica	15
abdicação	9
abdicações	1
abdicado	9
abdicai	2
abdicais	1
abdicam	4
abdicamos	6
abdicando	2
abdicar	148
abdicara	1
abdicaram	8
abdicarás	1
abdicarei	1
abdicarem	2
abdicaremos	2
abdicares	5
abdicaria	7
abdicas	5
abdicasse	3
abdicasses	2
abdicaste	10
abdicatário	1
abdicava	5
abdicávamos	1
abdicavas	1
abdico	22
abdicou	37
abdique	8
abdiquei	25
abdiqueis	1
abdiques	3
abdómen	87
abdómenes	1
abdominais	134
abdominal	71
abdução	16
abduções	7
abduzem	1
abduzi	1
abduzida	8
abduzidas	2
abduzido	25
abduzidos	7
abduzindo	1
abduzir	3
abduziram	3
abduziu	1
abébia	11
abébias	2
abecedário	7
abécula	3
abegão	1
abeirar	3
abeirou	1
abelha	203
abelha-mestra	5
abelhão	5
abelhar	1
abelhas	240
abelhas-mestras	1
abelhinha	14
abelhões	1
abelhuda	14
abelhudas	1
abelhudo	17
abelhudos	7
abençoa	100
abençoada	204
abençoadas	36
abençoado	323
abençoador	1
abençoados	149
abençoai	35
abençoais	1
abençoam	8
abençoamos	3
abençoando	6
abençoar	93
abençoara	1
abençoará	9
abençoaram	14
abençoarão	2
abençoarei	2
abençoarem	1
abençoares	3
abençoaria	1
abençoas	1
abençoasse	8
abençoassem	2
abençoaste	3
abençoava	4
abençoe	872
abençoei	7
